B,CHECKLIST_BUTTON_SHOW,Checklist switch,Paper checklist
B,CNP_CENTER_ALT_SET_BTN,Cancel altitude warning button,Center panel
B,CNP_CENTER_ANNUN_LT_SW,Annunciator light switch,Center panel
B,CNP_CENTER_ANNUN_TEST_BTN,Annunciator test button,Center panel
B,CNP_CENTER_AUTO_PRESS_CTRL_BARO_KNOB,Center automatic pressurization control barometric knob,Center panel
B,CNP_CENTER_AUTO_PRESS_CTRL_RATE_KNOB,Center automatic pressurization control rate knob,Center panel
B,CNP_CENTER_BRAKE_SW,Brake knob,Center panel
B,CNP_CENTER_COPILOT_ADI_HSI_SW,Center copilot ADI HSI switch,Center panel
B,CNP_CENTER_DCP_XFER_SW,Center DCP transfer switch,Center panel
B,CNP_CENTER_FIRE_ENG_1_SW_1,Fire bottle 2 knob (center panel),Center panel
B,CNP_CENTER_FIRE_ENG_1_SW_2,Fire bottle 2 switch (center panel),Center panel
B,CNP_CENTER_FIRE_ENG_2_SW_1,Fire bottle 2 knob (center panel),Center panel
B,CNP_CENTER_FIRE_ENG_2_SW_2,Fire bottle 2 switch (center panel),Center panel
B,CNP_CENTER_FIRE_ENG_3_SW_1,Fire bottle 2 knob (center panel),Center panel
B,CNP_CENTER_FIRE_ENG_3_SW_2,Fire bottle 2 switch (center panel),Center panel
B,CNP_CENTER_FIRE_PULL_1,Fire shutoff 1 switch,Center panel
B,CNP_CENTER_FIRE_PULL_2,Fire shutoff 2 switch,Center panel
B,CNP_CENTER_FIRE_PULL_3,Fire shutoff 3 switch,Center panel
B,CNP_CENTER_FUEL_QTY_SW,Fuel quantity switch,Center panel
B,CNP_CENTER_GEAR_EMERG_HANDLE,Emergency gear handle switch,Center panel
B,CNP_CENTER_GEAR_EMERG_HANDLE_LOCK,Emergency gear handle lock switch,Center panel
B,CNP_CENTER_GEAR_TEST_BTN,Gear test button,Center panel
B,CNP_CENTER_HYD_TEST_BTN,Brake test button,Center panel
B,CNP_CENTER_MPU_DRV_SW,Center MPU drive switch,Center panel
B,CNP_CENTER_PARKING_BRAKE_LEVER,Parking brake switch,Center panel
B,CNP_CENTER_PARKING_BRAKE_LEVER_RED,Emergency brake button,Center panel
B,CNP_CENTER_PILOT_ADI_HSI_SW,Center pilot ADI HSI switch,Center panel
B,CNP_CENTER_PRESS_KNOB,Center pressurization knob,Center panel
B,CNP_CENTER_PRESS_MODE_BTN,Pressure mode knob,Center panel
B,CNP_CENTER_STBY_PUMP_SW,Standby pump knob,Center panel
B,CNP_CENTER_TEMP_CREW_AM_SW,Temperature mode crew switch,Center panel
B,CNP_CENTER_TEMP_CREW_CH_SW,Manual temperature mixer crew knob,Center panel
B,CNP_CENTER_TEMP_CREW_KNOB,Cockpit temperature knob,Center panel
B,CNP_CENTER_TEMP_PASS_AM_SW,Temperature mode cabin switch,Center panel
B,CNP_CENTER_TEMP_PASS_CH_SW,Manual temperature mixer cabin knob,Center panel
B,CNP_CENTER_TEMP_PASS_KNOB,Cabin temperature knob,Center panel
B,CNP_CENTER_TEST_BTN,Fire test button,Center panel
