Pressure Altitude: 0ft,ISA -10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.330,.375,.368,.359,.350,.342,.331,.322,.313,.303
NM/lb,.1010,.1030,.1047,.1067,.1087,.1107,.1130,.1153,.1176,.1202
TAT (°C),11,13,13,12,12,12,11,11,11,10
TAS (kt),216,246,241,235,229,224,217,210,205,198
RPM (%),69.6,73.2,72.0,70.5,69.1,67.7,66.1,64.5,63.1,61.6
F/F (lb/hr),712,795,766,734,702,673,639,608,580,550
,,,,,,,,,,
Pressure Altitude: 0ft,ISA 0°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.330,.375,.368,.359,.350,.342,.331,.322,.313,.303
NM/lb,.1008,.1027,.1045,.1065,.1085,.1105,.1128,.1151,.1175,.1200
TAT (°C),21,23,23,23,22,22,21,21,21,20
TAS (kt),220,250,245,239,233,228,221,214,208,202
RPM (%),70.9,74.5,73.2,71.7,70.3,68.9,67.2,65.7,64.2,62.7
F/F (lb/hr),726,811,780,747,716,686,652,619,591,560
,,,,,,,,,,
Pressure Altitude: 0ft,ISA +10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.330,.375,.368,.359,.350,.342,.331,.322,.313,.303
NM/lb,.1006,.1025,.1043,.1063,.1083,.1103,.1126,.1149,.1173,.1198
TAT (°C),32,34,33,33,32,32,32,31,31,31
TAS (kt),223,254,249,243,237,231,224,218,212,205
RPM (%),72.1,75.8,74.5,73.0,71.5,70.1,68.4,66.8,65.3,63.7
F/F (lb/hr),740,826,795,762,730,699,664,631,602,571
,,,,,,,,,,
Pressure Altitude: 0ft,ISA +20°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.330,.375,.368,.359,.350,.342,.331,.322,.313,.303
NM/lb,.1004,.1023,.1041,.1060,.1080,.1101,.1124,.1147,.1171,.1196
TAT (°C),42,44,43,43,43,42,42,41,41,41
TAS (kt),227,258,253,247,241,235,228,221,215,209
RPM (%),73.3,77.1,75.7,74.2,72.7,71.2,68.5,67.9,66.4,64.8
F/F (lb/hr),754,842,810,776,744,712,676,643,613,581
,,,,,,,,,,
Pressure Altitude: 5000ft,ISA -10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.411,.406,.398,.390,.383,.375,.367,.357,.346,.335
NM/lb,.1128,.1147,.1170,.1192,.1215,.1238,.1261,.1286,.1312,.1339
TAT (°C),4,4,4,3,3,3,2,2,2,1
TAS (kt),264,261,256,251,246,241,236,229,222,215
RPM (%),76.9,76.0,74.9,73.8,72.8,71.5,70.0,68.4,66.7,64.9
F/F (lb/hr),781,758,728,701,675,648,622,594,565,536
,,,,,,,,,,
Pressure Altitude: 5000ft,ISA 0°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.411,.406,.398,.390,.383,.375,.367,.357,.346,.335
NM/lb,.1125,.1144,.1167,.1189,.1212,.1236,.1259,.1284,.1310,.1337
