Pressure Altitude: 25000ft,ISA -10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.800,.800,.800,.800,.800,.800,.800,.800,.800,.800
NM/lb,.1364,.1376,.1387,.1398,.1407,.1415,.1422,.1428,.1432,.1437
TAT (°C),-16,-16,-16,-16,-16,-16,-16,-16,-16,-16
TAS (kt),469,469,469,469,469,469,469,469,469,469
RPM (%),96.8,96.6,96.4,96.3,96.1,96,95.9,95.8,95.7,95.7
F/F (lb/hr),1146,1136,1126,1118,1111,1105,1099,1095,1091,1088
,,,,,,,,,,
Pressure Altitude: 25000ft,ISA 0°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.800,.800,.800,.800,.800,.800,.800,.800,.800,.800
NM/lb,.1354,.1365,.1376,.1387,.1396,.1404,.1411,.1417,.1422,.1426
TAT (°C),-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
TAS (kt),479,479,479,479,479,479,479,479,479,479
RPM (%),98.9,98.7,98.5,98.4,98.2,98.1,98,97.9,97.8,97.8
F/F (lb/hr),1180,1169,1160,1151,1144,1137,1132,1127,1123,1120
,,,,,,,,,,
Pressure Altitude: 27000ft,ISA -10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.800,.800,.800,.800,.800,.800,.800,.800,.800,.800
NM/lb,.1457,.1474,.1488,.1502,.1515,.1526,.1536,.1545,.1552,.1558
TAT (°C),-20,-20,-20,-20,-20,-20,-20,-20,-20,-20
TAS (kt),465,465,465,465,465,465,465,465,465,465
RPM (%),96.5,96.2,96,95.8,95.6,95.4,95.3,95.2,95.1,95
F/F (lb/hr),1063,1051,1041,1031,1023,1015,1008,1003,998,994
,,,,,,,,,,
Pressure Altitude: 27000ft,ISA 0°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.800,.800,.800,.800,.800,.800,.800,.800,.800,.800
NM/lb,.1445,.1462,.1477,.1490,.1503,.1514,.1524,.1533,.1540,.1547
TAT (°C),-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TAS (kt),475,475,475,475,475,475,475,475,475,475
RPM (%),98.6,98.3,98.1,97.9,97.7,97.5,97.4,97.2,97.1,97.1
F/F (lb/hr),1095,1083,1072,1062,1053,1046,1039,1033,1028,1024
,,,,,,,,,,
Pressure Altitude: 27000ft,ISA +10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,,,,,,.800,.800,.800,.800,.800
NM/lb,,,,,,.1503,.1513,.1521,.1528,.1535
TAT (°C),,,,,,3,3,3,3,3
TAS (kt),,,,,,485,485,485,485,485
RPM (%),,,,,,99.6,99.4,99.3,99.2,99.1
F/F (lb/hr),,,,,,1076,1067,1063,1058,1053
,,,,,,,,,,
Pressure Altitude: 29000ft,ISA -10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.800,.800,.800,.800,.800,.800,.800,.800,.800,.800
NM/lb,.1554,.1574,.1594,.1612,.1629,.1645,.1659,.1671,.1681,.1691
TAT (°C),-24,-24,-24,-24,-24,-24,-24,-24,-24,-24
TAS (kt),461,461,461,461,461,461,461,461,461,461
RPM (%),96.2,95.9,95.6,95.3,95.1,94.9,94.7,94.5,94.4,94.3
F/F (lb/hr),988,975,963,952,942,933,926,919,913,908
,,,,,,,,,,
Pressure Altitude: 29000ft,ISA 0°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.800,.800,.800,.800,.800,.800,.800,.800,.800,.800
NM/lb,.1540,.1561,.1581,.1599,.1616,.1632,.1646,.1658,.1669,.1678
TAT (°C),-13,-13,-13,-13,-13,-13,-13,-13,-13,-13
TAS (kt),471,471,471,471,471,471,471,471,471,471
RPM (%),98.3,98,97.7,97.5,97.2,97,96.8,96.6,96.5,96.4
F/F (lb/hr),1013,1006,993,982,971,963,954,947,941,936
,,,,,,,,,,
Pressure Altitude: 29000ft,ISA +10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,,,.800,.800,.800,.800,.800,.800,.800,.800
NM/lb,,,.1568,.1587,.1604,.1619,.1633,.1645,.1656,.1665
TAT (°C),,,-2,-2,-2,-2,-2,-2,-2,-2
TAS (kt),,,481,481,481,481,481,481,481,481
RPM (%),,,99.8,99.5,99.3,99.1,98.9,98.7,98.6,98.4
F/F (lb/hr),,,1023,1011,1000,990,982,975,968,963
,,,,,,,,,,
Pressure Altitude: 31000ft,ISA -10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.800,.800,.800,.800,.800,.800,.800,.800,.800,.800
NM/lb,.1649,.1676,.1702,.1726,.1749,.1770,.1789,.1806,.1821,.1835
TAT (°C),-29,-29,-29,-29,-29,-29,-29,-29,-29,-29
TAS (kt),457,457,457,457,457,457,457,457,457,457
RPM (%),96,95.6,95.3,95,94.7,94.4,94.1,93.9,93.8,93.6
F/F (lb/hr),923,908,894,881,870,860,850,842,835,829
,,,,,,,,,,
Pressure Altitude: 31000ft,ISA 0°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.800,.800,.800,.800,.800,.800,.800,.800,.800,.800
NM/lb,.1635,.1661,.1687,.1712,.1735,.1756,.1775,.1792,.1807,.1821
TAT (°C),-18,-18,-18,-18,-18,-18,-18,-18,-18,-18
TAS (kt),467,467,467,467,467,467,467,467,467,467
RPM (%),98.2,97.8,97.5,97.1,96.8,96.5,96.3,96.1,95.9,95.7
F/F (lb/hr),952,937,923,909,897,886,877,868,861,855
,,,,,,,,,,
Pressure Altitude: 31000ft,ISA +10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,,.800,.800,.800,.800,.800,.800,.800,.800,.800
NM/lb,,.1648,.1674,.1698,.1721,.1742,.1764,.1778,.1793,.1807
TAT (°C),,-6,-6,-6,-6,-6,-6,-6,-6,-6
TAS (kt),,477,477,477,477,477,477,477,477,477
RPM (%),,100,99.6,99.2,98.9,98.6,98.4,98.2,98,97.8
F/F (lb/hr),,965,950,937,924,913,903,894,887,880
,,,,,,,,,,
Pressure Altitude: 33000ft,ISA -10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.800,.800,.800,.800,.800,.800,.800,.800,.800,.800
NM/lb,.1740,.1776,.1810,.1843,.1873,.1901,.1927,.1950,.1971,.1991
TAT (°C),-33,-33,-33,-33,-33,-33,-33,-33,-33,-33
TAS (kt),452,452,452,452,452,452,452,452,452,452
RPM (%),96.1,95.6,95.1,94.7,94.3,94,93.7,93.4,93.2,92.9
F/F (lb/hr),866,849,833,818,805,793,782,773,765,757
,,,,,,,,,,
Pressure Altitude: 33000ft,ISA 0°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.800,.800,.800,.800,.800,.800,.800,.800,.800,.800
NM/lb,.1724,.1760,.1794,.1827,.1857,.1885,.1911,.1935,.1956,.1975
TAT (°C),-22,-22,-22,-22,-22,-22,-22,-22,-22,-22
TAS (kt),463,463,463,463,463,463,463,463,463,463
RPM (%),98.3,97.8,97.3,96.9,96.5,96.2,95.8,95.6,95.3,95.1
F/F (lb/hr),895,877,860,844,831,818,807,797,789,781
,,,,,,,,,,
Pressure Altitude: 33000ft,ISA +10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.800,.800,.800,.800,.800,.800,.800,.800,.800,.800
NM/lb,.1709,.1745,.1779,.1812,.1842,.1870,.1896,.1919,.1940,.1960
TAT (°C),-11,-11,-11,-11,-11,-11,-11,-11,-11,-11
TAS (kt),473,473,473,473,473,473,473,473,473,473
RPM (%),100.5,100,99.5,99.1,98.7,98.3,98,97.7,97.4,97.2
F/F (lb/hr),923,904,886,870,856,843,832,822,813,805
,,,,,,,,,,
Pressure Altitude: 35000ft,ISA -10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
