Pressure Altitude: 0ft,ISA -10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.525,.525,.525,.525,.525,.525,.525,.525,.525,.525
NM/lb,.0851,.0852,.0854,.0856,.0858,.0860,.0861,.0862,.0863,.0863
TAT (°C),21,21,21,21,21,21,21,21,21,21
TAS (kt),344,344,344,344,344,344,344,344,344,344
RPM (%),88.1,88.1,88,88,87.9,87.9,87.8,87.8,87.8,87.8
F/F (lb/hr),1344,1345,1341,1338,1335,1332,1331,1329,1328,1327
,,,,,,,,,,
Pressure Altitude: 0ft,ISA 0°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.525,.525,.525,.525,.525,.525,.525,.525,.525,.525
NM/lb,.0848,.0849,.0851,.0854,.0855,.0857,.0857,.0859,.0860,.0860
TAT (°C),31,31,31,31,31,31,31,31,31,31
TAS (kt),350,350,350,350,350,350,350,350,350,350
RPM (%),89.7,89.7,89.6,89.5,89.5,89.4,89.4,89.4,89.4,89.4
F/F (lb/hr),1373,1373,1370,1366,1363,1361,1359,1357,1356,1355
,,,,,,,,,,
Pressure Altitude: 0ft,ISA +10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.525,.525,.525,.525,.525,.525,.525,.525,.525,.525
NM/lb,.0845,.0846,.0848,.0851,.0852,.0854,.0855,.0856,.0857,.0857
TAT (°C),42,42,42,42,42,42,42,42,42,42
TAS (kt),356,356,356,356,356,356,356,356,356,356
RPM (%),91.2,91.2,91.1,91.1,91,91.9,91,90.9,90.9,90.9
F/F (lb/hr),1401,1402,1398,1394,1391,1389,1387,1385,1384,1383
,,,,,,,,,,
Pressure Altitude: 0ft,ISA +20°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.525,.525,.525,.525,.525,.525,.525,.525,.525,.525
NM/lb,.0842,.0843,.0846,.0848,.0850,.0851,.0852,.0853,.0854,.0854
TAT (°C),52,52,52,52,52,52,52,52,52,52
TAS (kt),362,362,362,362,362,362,362,362,362,362
RPM (%),92.7,92.7,92.7,92.6,92.5,92.5,92.5,92.4,92.4,92.4
F/F (lb/hr),1430,1430,1426,1422,1419,1417,1415,1413,1412,1411
,,,,,,,,,,
Pressure Altitude: 5000ft,ISA -10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.592,.592,.592,.592,.592,.592,.592,.592,.592,.592
NM/lb,.0915,.0918,.0920,.0922,.0924,.0925,.0926,.0927,.0927,.0928
TAT (°C),14,14,14,14,14,14,14,14,14,14
TAS (kt),380,380,380,380,380,380,380,380,380,380
RPM (%),91.4,91.3,91.3,91.3,91.2,91.2,91.2,91.2,91.2,91.1
F/F (lb/hr),1383,1379,1376,1373,1370,1368,1366,1365,1364,1364
,,,,,,,,,,
Pressure Altitude: 5000ft,ISA 0°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.592,.592,.592,.592,.592,.592,.592,.592,.592,.592
NM/lb,.0911,.0914,.0916,.0918,.0920,.0921,.0922,.0923,.0924,.0924
TAT (°C),25,25,25,25,25,25,25,25,25,25
TAS (kt),387,387,387,387,387,387,387,387,387,387
RPM (%),93.1,93,93,92.9,92.9,92.9,92.9,92.8,92.8,92.8
F/F (lb/hr),1415,1410,1407,1404,1401,1399,1397,1396,1395,1395
,,,,,,,,,,
Pressure Altitude: 5000ft,ISA +10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.592,.592,.592,.592,.592,.592,.592,.592,.592,.592
NM/lb,.0907,.0910,.0912,.0914,.0916,.0917,.0918,.0919,.0920,.0920
TAT (°C),36,36,36,36,36,36,36,36,36,36
TAS (kt),394,394,394,394,394,394,394,394,394,394
RPM (%),94.7,94.7,94.6,94.6,94.6,94.5,94.5,94.5,94.5,94.5
F/F (lb/hr),1446,1442,1438,1435,1432,1430,1428,1427,1426,1426
,,,,,,,,,,
Pressure Altitude: 5000ft,ISA +20°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.592,.592,.592,.592,.592,.592,.592,.592,.592,.592
NM/lb,.0903,.0906,.0908,.0910,.0912,.0913,.0915,.0915,.0916,.0916
TAT (°C),46,46,46,46,46,46,46,46,46,46
TAS (kt),400,400,400,400,400,400,400,400,400,400
RPM (%),96.4,96.3,96.3,96.2,96.2,96.2,96.1,96.1,96.1,96.1
F/F (lb/hr),1477,1473,1469,1466,1463,1461,1459,1458,1457,1456
,,,,,,,,,,
Pressure Altitude: 10000ft,ISA -10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.663,.663,.663,.663,.663,.663,.663,.663,.663,.663
NM/lb,.0991,.0993,.0996,.0998,.1000,.1001,.1002,.1003,.1003,.1004
TAT (°C),8,8,8,8,8,8,8,8,8,8
TAS (kt),416,416,416,416,416,416,416,416,416,416
RPM (%),93.4,93.3,93.3,93.2,93.2,93.1,93.1,93.1,93.1,93.1
F/F (lb/hr),1399,1395,1392,1389,1386,1384,1383,1382,1381,1381
,,,,,,,,,,
Pressure Altitude: 10000ft,ISA 0°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.663,.663,.663,.663,.663,.663,.663,.663,.663,.663
NM/lb,.0985,.0988,.0991,.0993,.0994,.0996,.0997,.0998,.0998,.0999
TAT (°C),19,19,19,19,19,19,19,19,19,19
TAS (kt),424,424,424,424,424,424,424,424,424,424
RPM (%),95.1,95.1,95,95,95,94.9,94.9,94.9,94.9,94.9
F/F (lb/hr),1433,1429,1426,1423,1420,1418,1417,1416,1415,1414
,,,,,,,,,,
Pressure Altitude: 10000ft,ISA +10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.663,.663,.663,.663,.663,.663,.663,.663,.663,.663
NM/lb,.0980,.0983,.0985,.0987,.0989,.0991,.0992,.0993,.0993,.0993
TAT (°C),30,30,30,30,30,30,30,30,30,30
TAS (kt),432,432,432,432,432,432,432,432,432,432
RPM (%),96.9,96.8,96.8,96.8,96.7,96.7,96.7,96.6,96.6,96.6
F/F (lb/hr),1467,1463,1460,1457,1454,1452,1450,1449,1448,1448
,,,,,,,,,,
Pressure Altitude: 10000ft,ISA +20°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.663,.663,.663,.663,.663,.663,.663,.663,.663,.663
NM/lb,.0975,.0978,.0980,.0982,.0984,.0986,.0987,.0988,.0988,.0988
TAT (°C),41,41,41,41,41,41,41,41,41,41
TAS (kt),439,439,439,439,439,439,439,439,439,439
RPM (%),98.6,98.6,98.5,98.5,98.4,98.4,98.4,98.4,98.4,98.3
F/F (lb/hr),1501,1497,1493,1490,1488,1485,1484,1482,1482,1481
,,,,,,,,,,
Pressure Altitude: 15000ft,ISA -10°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.727,.727,.727,.727,.727,.727,.727,.727,.727,.727
NM/lb,.1093,.1091,.1094,.1097,.1099,.1101,.1103,.1104,.1105,.1105
TAT (°C),1,1,1,1,1,1,1,1,1,1
TAS (kt),446,446,446,446,446,446,446,446,446,446
RPM (%),94.9,95,95,94.9,94.9,94.8,94.8,94.8,94.8,94.8
F/F (lb/hr),1354,1362,1358,1355,1352,1349,1347,1346,1345,1344
,,,,,,,,,,
Pressure Altitude: 15000ft,ISA 0°C,,,,,,,,,
,,,,,,,,,,
"Weight x 1,000 lb",40,38,36,34,32,30,28,26,24,22
Ind. M.,.711,.713,.714,.715,.716,.717,.717,.718,.718,.718
NM/lb,.1107,.1109,.1110,.1111,.1112,.1113,.1114,.1114,.1115,.1115
TAT (°C),11,12,12,12,12,12,12,12,12,12
TAS (kt),446,446,447,448,448,449,449,449,449,450
RPM (%),96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.2,96.1,96.1
F/F (lb/hr),1341,1342,1342,1343,1343,1343,1343,1344,1344,1344
,,,,,,,,,,
Pressure Altitude: 15000ft,ISA +10°C,,,,,,,,,
,,,,,,,,,,
